Acc-X_mean,Acc-X_variance,Acc-X_median_absolute_deviation,Acc-X_root_mean_square,Acc-X_interquartile_range,Acc-X_percentile_75,Acc-X_kurtosis,Acc-X_min_max,Acc-X_signal_magnitude_area,Acc-X_zero_crossing_rate,Acc-X_spectral_centroid,Acc-X_spectral_entropy,Acc-X_spectral_energy,Acc-X_principle_frequency,Acc-Y_mean,Acc-Y_variance,Acc-Y_median_absolute_deviation,Acc-Y_root_mean_square,Acc-Y_interquartile_range,Acc-Y_percentile_75,Acc-Y_kurtosis,Acc-Y_min_max,Acc-Y_signal_magnitude_area,Acc-Y_zero_crossing_rate,Acc-Y_spectral_centroid,Acc-Y_spectral_entropy,Acc-Y_spectral_energy,Acc-Y_principle_frequency,Acc-Z_mean,Acc-Z_variance,Acc-Z_median_absolute_deviation,Acc-Z_root_mean_square,Acc-Z_interquartile_range,Acc-Z_percentile_75,Acc-Z_kurtosis,Acc-Z_min_max,Acc-Z_signal_magnitude_area,Acc-Z_zero_crossing_rate,Acc-Z_spectral_centroid,Acc-Z_spectral_entropy,Acc-Z_spectral_energy,Acc-Z_principle_frequency,Gyro-X_mean,Gyro-X_variance,Gyro-X_median_absolute_deviation,Gyro-X_root_mean_square,Gyro-X_interquartile_range,Gyro-X_percentile_75,Gyro-X_kurtosis,Gyro-X_min_max,Gyro-X_signal_magnitude_area,Gyro-X_zero_crossing_rate,Gyro-X_spectral_centroid,Gyro-X_spectral_entropy,Gyro-X_spectral_energy,Gyro-X_principle_frequency,Gyro-Y_mean,Gyro-Y_variance,Gyro-Y_median_absolute_deviation,Gyro-Y_root_mean_square,Gyro-Y_interquartile_range,Gyro-Y_percentile_75,Gyro-Y_kurtosis,Gyro-Y_min_max,Gyro-Y_signal_magnitude_area,Gyro-Y_zero_crossing_rate,Gyro-Y_spectral_centroid,Gyro-Y_spectral_entropy,Gyro-Y_spectral_energy,Gyro-Y_principle_frequency,Gyro-Z_mean,Gyro-Z_variance,Gyro-Z_median_absolute_deviation,Gyro-Z_root_mean_square,Gyro-Z_interquartile_range,Gyro-Z_percentile_75,Gyro-Z_kurtosis,Gyro-Z_min_max,Gyro-Z_signal_magnitude_area,Gyro-Z_zero_crossing_rate,Gyro-Z_spectral_centroid,Gyro-Z_spectral_entropy,Gyro-Z_spectral_energy,Gyro-Z_principle_frequency,Flex1_mean,Flex1_variance,Flex1_median_absolute_deviation,Flex1_root_mean_square,Flex1_interquartile_range,Flex1_percentile_75,Flex1_kurtosis,Flex1_min_max,Flex1_signal_magnitude_area,Flex1_zero_crossing_rate,Flex1_spectral_centroid,Flex1_spectral_entropy,Flex1_spectral_energy,Flex1_principle_frequency,Flex2_mean,Flex2_variance,Flex2_median_absolute_deviation,Flex2_root_mean_square,Flex2_interquartile_range,Flex2_percentile_75,Flex2_kurtosis,Flex2_min_max,Flex2_signal_magnitude_area,Flex2_zero_crossing_rate,Flex2_spectral_centroid,Flex2_spectral_entropy,Flex2_spectral_energy,Flex2_principle_frequency,action
25,0,25,25,0,25,-3,0,25,0,0,nan,0,0,-7,0,-7,7,0,-7,-3,0,-7,0,0,nan,0,0,44,0,44,44,0,44,-3,0,44,0,0,nan,0,0,-2442,0,-2442,2442,0,-2442,-3,0,-2442,0,0,nan,0,0,-3464,0,-3464,3464,0,-3464,-3,0,-3464,0,0,nan,0,0,-5722,0,-5722,5722,0,-5722,-3,0,-5722,0,0,nan,0,0,-25,0,-25,25,0,-25,-3,0,-25,0,0,nan,0,0,-6,0,-6,6,0,-6,-3,0,-6,0,0,nan,0,0,GRENADE
2,0,2,2,0,2,-3,0,2,0,0,nan,0,0,-173,0,-173,173,0,-173,-3,0,-173,0,0,nan,0,0,101,0,101,101,0,101,-3,0,101,0,0,nan,0,0,1664,0,1664,1664,0,1664,-3,0,1664,0,0,nan,0,0,1326,0,1326,1326,0,1326,-3,0,1326,0,0,nan,0,0,-1248,0,-1248,1248,0,-1248,-3,0,-1248,0,0,nan,0,0,-25,0,-25,25,0,-25,-3,0,-25,0,0,nan,0,0,-17,0,-17,17,0,-17,-3,0,-17,0,0,nan,0,0,GRENADE
-10,0,-10,10,0,-10,-3,0,-10,0,0,nan,0,0,16,0,16,16,0,16,-3,0,16,0,0,nan,0,0,-52,0,-52,52,0,-52,-3,0,-52,0,0,nan,0,0,482,0,482,482,0,482,-3,0,482,0,0,nan,0,0,1083,0,1083,1083,0,1083,-3,0,1083,0,0,nan,0,0,-690,0,-690,690,0,-690,-3,0,-690,0,0,nan,0,0,-25,0,-25,25,0,-25,-3,0,-25,0,0,nan,0,0,-19,0,-19,19,0,-19,-3,0,-19,0,0,nan,0,0,GRENADE
17,0,17,17,0,17,-3,0,17,0,0,nan,0,0,12,0,12,12,0,12,-3,0,12,0,0,nan,0,0,-43,0,-43,43,0,-43,-3,0,-43,0,0,nan,0,0,785,0,785,785,0,785,-3,0,785,0,0,nan,0,0,3909,0,3909,3909,0,3909,-3,0,3909,0,0,nan,0,0,1990,0,1990,1990,0,1990,-3,0,1990,0,0,nan,0,0,-25,0,-25,25,0,-25,-3,0,-25,0,0,nan,0,0,-16,0,-16,16,0,-16,-3,0,-16,0,0,nan,0,0,SHIELD
25,0,25,25,0,25,-3,0,25,0,0,nan,0,0,13,0,13,13,0,13,-3,0,13,0,0,nan,0,0,-23,0,-23,23,0,-23,-3,0,-23,0,0,nan,0,0,-897,0,-897,897,0,-897,-3,0,-897,0,0,nan,0,0,-2722,0,-2722,2722,0,-2722,-3,0,-2722,0,0,nan,0,0,679,0,679,679,0,679,-3,0,679,0,0,nan,0,0,-25,0,-25,25,0,-25,-3,0,-25,0,0,nan,0,0,-19,0,-19,19,0,-19,-3,0,-19,0,0,nan,0,0,SHIELD
10,0,10,10,0,10,-3,0,10,0,0,nan,0,0,13,0,13,13,0,13,-3,0,13,0,0,nan,0,0,-75,0,-75,75,0,-75,-3,0,-75,0,0,nan,0,0,935,0,935,935,0,935,-3,0,935,0,0,nan,0,0,489,0,489,489,0,489,-3,0,489,0,0,nan,0,0,4507,0,4507,4507,0,4507,-3,0,4507,0,0,nan,0,0,-25,0,-25,25,0,-25,-3,0,-25,0,0,nan,0,0,-16,0,-16,16,0,-16,-3,0,-16,0,0,nan,0,0,SHIELD
7,0,7,7,0,7,-3,0,7,0,0,nan,0,0,8,0,8,8,0,8,-3,0,8,0,0,nan,0,0,-86,0,-86,86,0,-86,-3,0,-86,0,0,nan,0,0,123,0,123,123,0,123,-3,0,123,0,0,nan,0,0,-14,0,-14,14,0,-14,-3,0,-14,0,0,nan,0,0,3529,0,3529,3529,0,3529,-3,0,3529,0,0,nan,0,0,-25,0,-25,25,0,-25,-3,0,-25,0,0,nan,0,0,-21,0,-21,21,0,-21,-3,0,-21,0,0,nan,0,0,SHIELD
165,0,165,165,0,165,-3,0,165,0,0,nan,0,0,-3,0,-3,3,0,-3,-3,0,-3,0,0,nan,0,0,67,0,67,67,0,67,-3,0,67,0,0,nan,0,0,-251,0,-251,251,0,-251,-3,0,-251,0,0,nan,0,0,1292,0,1292,1292,0,1292,-3,0,1292,0,0,nan,0,0,-2629,0,-2629,2629,0,-2629,-3,0,-2629,0,0,nan,0,0,-25,0,-25,25,0,-25,-3,0,-25,0,0,nan,0,0,-12,0,-12,12,0,-12,-3,0,-12,0,0,nan,0,0,RELOAD
-179,0,-179,179,0,-179,-3,0,-179,0,0,nan,0,0,167,0,167,167,0,167,-3,0,167,0,0,nan,0,0,-120,0,-120,120,0,-120,-3,0,-120,0,0,nan,0,0,-492,0,-492,492,0,-492,-3,0,-492,0,0,nan,0,0,63,0,63,63,0,63,-3,0,63,0,0,nan,0,0,1920,0,1920,1920,0,1920,-3,0,1920,0,0,nan,0,0,-25,0,-25,25,0,-25,-3,0,-25,0,0,nan,0,0,-22,0,-22,22,0,-22,-3,0,-22,0,0,nan,0,0,RELOAD
-6,0,-6,6,0,-6,-3,0,-6,0,0,nan,0,0,-4,0,-4,4,0,-4,-3,0,-4,0,0,nan,0,0,-84,0,-84,84,0,-84,-3,0,-84,0,0,nan,0,0,314,0,314,314,0,314,-3,0,314,0,0,nan,0,0,77,0,77,77,0,77,-3,0,77,0,0,nan,0,0,2759,0,2759,2759,0,2759,-3,0,2759,0,0,nan,0,0,-25,0,-25,25,0,-25,-3,0,-25,0,0,nan,0,0,-21,0,-21,21,0,-21,-3,0,-21,0,0,nan,0,0,RELOAD
177,0,177,177,0,177,-3,0,177,0,0,nan,0,0,172,0,172,172,0,172,-3,0,172,0,0,nan,0,0,-134,0,-134,134,0,-134,-3,0,-134,0,0,nan,0,0,58,0,58,58,0,58,-3,0,58,0,0,nan,0,0,851,0,851,851,0,851,-3,0,851,0,0,nan,0,0,3882,0,3882,3882,0,3882,-3,0,3882,0,0,nan,0,0,-25,0,-25,25,0,-25,-3,0,-25,0,0,nan,0,0,-22,0,-22,22,0,-22,-3,0,-22,0,0,nan,0,0,LOGOUT
-21,0,-21,21,0,-21,-3,0,-21,0,0,nan,0,0,7,0,7,7,0,7,-3,0,7,0,0,nan,0,0,-73,0,-73,73,0,-73,-3,0,-73,0,0,nan,0,0,400,0,400,400,0,400,-3,0,400,0,0,nan,0,0,-513,0,-513,513,0,-513,-3,0,-513,0,0,nan,0,0,-382,0,-382,382,0,-382,-3,0,-382,0,0,nan,0,0,-25,0,-25,25,0,-25,-3,0,-25,0,0,nan,0,0,-22,0,-22,22,0,-22,-3,0,-22,0,0,nan,0,0,LOGOUT
0,0,0,0,0,0,-3,0,0,0,nan,nan,0,0,2,0,2,2,0,2,-3,0,2,0,0,nan,0,0,-86,0,-86,86,0,-86,-3,0,-86,0,0,nan,0,0,-46,0,-46,46,0,-46,-3,0,-46,0,0,nan,0,0,-265,0,-265,265,0,-265,-3,0,-265,0,0,nan,0,0,1524,0,1524,1524,0,1524,-3,0,1524,0,0,nan,0,0,-25,0,-25,25,0,-25,-3,0,-25,0,0,nan,0,0,-21,0,-21,21,0,-21,-3,0,-21,0,0,nan,0,0,LOGOUT
